node_id,type,name,source,label
DB08103,drug,"2,6-dibromo-4-phenoxyphenol",DrugBank,Drug
DB08104,drug,"N-(3,5-dibromo-4-hydroxyphenyl)benzamide",DrugBank,Drug
DB08205,drug,"4-(1,3-BENZOXAZOL-2-YL)-2,6-DIMETHYLPHENOL",DrugBank,Drug
DB08206,drug,"4-(1,3-BENZOXAZOL-2-YL)-2,6-DIBROMOPHENOL",DrugBank,Drug
DB08207,drug,"2-(3,5-DIMETHYLPHENYL)-1,3-BENZOXAZOLE",DrugBank,Drug
DB09100,drug,"Thyroid, porcine",DrugBank,Drug
DB00200,drug,Hydroxocobalamin,DrugBank,Drug
DB13751,drug,Glycyrrhizic acid,DrugBank,Drug
DB09270,drug,Ubidecarenone,DrugBank,Drug
DB11251,drug,Tocopherol,DrugBank,Drug
DB14003,drug,alpha-Tocopherol acetate,DrugBank,Drug
DB00523,drug,Alitretinoin,DrugBank,Drug
DB00926,drug,Etretinate,DrugBank,Drug
DB04942,drug,Tamibarotene,DrugBank,Drug
DB00893,drug,Iron Dextran,DrugBank,Drug
DB01294,drug,Bismuth subsalicylate,DrugBank,Drug
DB05260,drug,Gallium nitrate,DrugBank,Drug
DB11136,drug,Chromium,DrugBank,Drug
DB11182,drug,Rose bengal,DrugBank,Drug
DB13949,drug,Ferric cation,DrugBank,Drug
DB14520,drug,Tetraferric tricitrate decahydrate,DrugBank,Drug
DB14526,drug,Chromic citrate,DrugBank,Drug
DB14527,drug,Chromic nitrate,DrugBank,Drug
DB14528,drug,Chromium gluconate,DrugBank,Drug
DB14529,drug,Chromium nicotinate,DrugBank,Drug
DB14530,drug,Chromous sulfate,DrugBank,Drug
DB00070,drug,Hyaluronidase (ovine),DrugBank,Drug
DB00104,drug,Octreotide,DrugBank,Drug
DB00126,drug,Ascorbic acid,DrugBank,Drug
DB00137,drug,Lutein,DrugBank,Drug
DB00152,drug,Thiamine,DrugBank,Drug
DB00159,drug,Icosapent,DrugBank,Drug
DB00165,drug,Pyridoxine,DrugBank,Drug
DB00214,drug,Torasemide,DrugBank,Drug
DB00220,drug,Nelfinavir,DrugBank,Drug
DB00227,drug,Lovastatin,DrugBank,Drug
DB00228,drug,Enflurane,DrugBank,Drug
DB00237,drug,Butabarbital,DrugBank,Drug
DB00238,drug,Nevirapine,DrugBank,Drug
DB00245,drug,Benzatropine,DrugBank,Drug
DB00246,drug,Ziprasidone,DrugBank,Drug
DB00252,drug,Phenytoin,DrugBank,Drug
DB00264,drug,Metoprolol,DrugBank,Drug
DB00266,drug,Dicoumarol,DrugBank,Drug
DB00273,drug,Topiramate,DrugBank,Drug
DB00274,drug,Cefmetazole,DrugBank,Drug
DB00278,drug,Argatroban,DrugBank,Drug
DB00286,drug,Conjugated estrogens,DrugBank,Drug
DB00289,drug,Atomoxetine,DrugBank,Drug
DB00294,drug,Etonogestrel,DrugBank,Drug
DB00295,drug,Morphine,DrugBank,Drug
DB00304,drug,Desogestrel,DrugBank,Drug
DB00310,drug,Chlorthalidone,DrugBank,Drug
